iter	Passed	Remaining
1578	301053	270928
1579	301244	270738
1580	301423	270537
1581	301610	270343
1582	301799	270151
1583	302003	269973
1584	302199	269787
1585	302403	269608
1586	302585	269409
1587	302781	269223
1588	302968	269030
1589	303153	268834
1590	303339	268639
1591	303524	268444
1592	303712	268250
1593	303896	268053
1594	304091	267867
1595	304284	267678
1596	304476	267489
1597	304669	267300
1598	304858	267108
1599	305040	266910
1600	305231	266720
1601	305417	266525
1602	305606	266333
1603	305798	266143
1604	305995	265958
1605	306184	265766
1606	306363	265565
1607	306558	265378
1608	306756	265194
1609	306941	264999
1610	307137	264813
1611	307319	264614
1612	307502	264418
1613	307684	264219
1614	307868	264023
1615	308061	263834
1616	308245	263638
1617	308424	263438
1618	308606	263239
1619	308799	263051
1620	308984	262855
1621	309186	262674
1622	309374	262482
1623	309566	262292
1624	309755	262101
1625	309940	261905
1626	310135	261718
1627	310331	261532
1628	310526	261345
1629	310726	261162
1630	310915	260970
1631	311095	260771
1632	311274	260570
1633	311469	260383
1634	311653	260187
1635	311850	260002
1636	312039	259810
1637	312220	259611
1638	312423	259431
1639	312628	259252
1640	312808	259053
1641	312999	258863
1642	313180	258664
1643	313373	258475
1644	313556	258278
1645	313740	258083
1646	313931	257892
1647	314119	257700
1648	314302	257503
1649	314501	257319
1650	314685	257123
1651	314875	256932
1652	315054	256732
1653	315242	256539
1654	315432	256348
1655	315614	256150
1656	315806	255961
1657	315991	255766
1658	316182	255576
